Study_ID,Item_Type,Publication_Year,Author_List,Title,Publication_Title,DOI,Url,Abstract Note,Pages,Issue,Volume,Publisher,Place,Library_Catalog,Editor,Conference_Name,Author_Last,Include,level,Country,Discipline,Condensed_Discipline,Outcome,Condensed_Outcomes,Study_Design
1,journalArticle,2022,"Forrester, Chiara; Schwikert, Shane; Foster, James; Corwin, Lisa",Undergraduate R Programming Anxiety in Ecology: Persistent Gender Gaps and Coping Strategies,CBE - Life Sciences Education,10.1187/cbe.21-05-0133,https://libproxy.uccs.edu/login?url=https://www.proquest.com/scholarly-journals/undergraduate-r-programming-anxiety-ecology/docview/2722627396/se-2?accountid=25388,"The ability to program in R, an open-source statistical program, is increasingly valued across job markets, including ecology. The benefits of teaching R to undergraduates are abundant, but learning to code in R may induce anxiety for students, potentially leading to negative learning outcomes and disengagement. Anecdotes suggest a gender differential in programming anxiety, with women experiencing greater anxiety. Currently, we do not know the extent to which programming anxiety exists in our undergraduate biology classrooms, whether it differs by gender, and what instructors can do to alleviate it. Instructor immediacy has been shown to mediate related anxieties such as quantitative and computer anxiety. Likewise, students' use of adaptive coping strategies may mitigate anxieties. We investigated students' R anxiety within a lower-division ecology course and explored its relationships with gender, instructor immediacy, classroom engagement, and reported coping strategies. Women reported significantly higher R anxiety than men, a gap that narrowed, yet persisted over the semester. In addition, several specific coping skills were associated with decreases in R anxiety and increases in self-concept and sense of control; these differed by gender identity. Our findings can guide future work to identify interventions that lessen programming anxiety in biology classes, especially for women.",,2,21,,,,,,Forrester,Y,UG,US,Ecology,Ecology,Coding anxiety and gender gaps ,Perceptions ,QE
2,journalArticle,2021,"Govender, Irene",Towards Understanding Information Systems Students' Experience of Learning Introductory Programming: A Phenomenographic Approach,Journal of Information Technology Education: Innovations in Practice,10.28945/4782,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib&db=eric&AN=EJ1308567&site=ehost-live&scope=site&custid=gsu1","Aim/Purpose: This study seeks to understand the various ways information systems (IS) students experience introductory programming to inform IS educators on effective pedagogical approaches to teaching programming. Background: Many students who choose to major in information systems (IS), enter university with little or no experience of learning programming. Few studies have dealt with students' learning to program in the business faculty, who do not necessarily have the computer science goal of programming. It has been shown that undergraduate IS students struggle with programming. Methodology: The qualitative approach was used in this study to determine students' notions of learning to program and to determine their cognitive processes while learning to program in higher education. A cohort of 47 students, who were majoring in Information Systems within the Bachelor of Commerce degree programme were part of the study. Reflective journals were used to allow students to record their experiences and to study in-depth their insights and experiences of learning to program during the course. Using phenomenographic methods, categories of description that uniquely characterises the various ways IS students experience learning to program were determined. Contribution: This paper provides educators with empirical evidence on IS students' experiences of learning to program, which play a crucial role in informing IS educators on how they can lend support and modify their pedagogical approach to teach programming to students who do not necessarily need to have the computer science goal of programming. This study contributes additional evidence that suggests more categories of description for IS students within a business degree. It provides valuable pedagogical insights for IS educators, thus contributing to the body of knowledge Findings: The findings of this study reveal six ways in which IS students' experience the phenomenon, learning to program. These ways, referred to categories of description, formed an outcome space. Recommendations for Practitioners: Use the experiences of students identified in this study to determine approach to teaching and tasks or assessments assigned Recommendation for Researchers: Using phenomenographic methods researchers in IS or IT may determine pedagogical content knowledge in teaching specific aspects of IT or IS. Impact on Society: More business students would be able to program and improve their logical thinking and coding skills. Future Research: Implement the recommendations for practice and evaluate the students' performance.",81-92,,20,Journal of Information Technology Education: Innovations in Practice,,EBSCOhost,,,Govender,N,UG,SA,Information Systems,Information Systems,Student experiences ,,QL
3,journalArticle,2020,"Jekel, Marc; Fiedler, Susann; Allstadt Torras, Ramona; Mischkowski, Dorothee; Dorrough, Angela Rachael; Glöckner, Andreas",How to Teach Open Science Principles in the Undergraduate Curriculum--The Hagen Cumulative Science Project,Psychology Learning and Teaching,10.1177/1475725719868149,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib&db=eric&AN=EJ1243516&site=ehost-live&scope=site&custid=gsu1","The ""Hagen Cumulative Science Project"" is a large-scale replication project based on students' thesis work. In the project, we aim to (a) teach students to conduct the entire research process for conducting a replication according to open science standards and (b) contribute to cumulative science by increasing the number of direct replications. We describe the procedural steps of the project from choosing suitable replication studies to guiding students through the process of conducting a replication, and processing results in a meta-analysis. Based on the experience of more than 80 replications, we summarize how such a project can be implemented. We present practical solutions that have been shown to be successful as well as discuss typical obstacles and how they can be solved. We argue that replication projects are beneficial for all groups involved: Students benefit by being guided through a highly structured protocol and making actual contributions to science. Instructors benefit by using time resources effectively for cumulative science and fulfilling teaching obligations in a meaningful way. The scientific community benefits from the resulting greater number of replications and teaching state-of-the-art methodology. We encourage the use of student thesis-based replication projects for thesis work in academic bachelor and master curricula.",91-106,1,19,Psychology Learning and Teaching,,EBSCOhost,,,Jekel,N,UG,GER,Psychology,Psychology,Course Framework,,QL
4,journalArticle,2020,"Miah, Shah J.; Solomonides, Ian; Gammack, John G.",A Design-Based Research Approach for Developing Data-Focussed Business Curricula,Education and Information Technologies,10.1007/s10639-019-09981-5,"https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,shib&db=eric&AN=EJ1239442&site=ehost-live&scope=site&custid=gsu1","Although existing data science educational programmes develop talent and produce graduates, business-focused data science curricula comprising essential skills oriented to business and managerial data with associated analysis, remain underserved. Current pedagogy has focused either on data science or on purely analytic technical aspects. There is therefore, an opportunity to rethink how institutions can develop innovative data-focussed education programmes, addressing both modern industry and community demands. As both academia and industry strive to integrate applied learning, transferable and enterprise skills into business and sciences, this paper proposes a design based research approach (DBR) for designing such a new interdisciplinary data science teaching curriculum as a foundation to deliver business undergraduate degrees in Business Data Science. Adopting a design science method our proposed DBR illustrates effective utilities for conceptualising and evaluating a fully functional new degree programme -- Bachelor of Business Data Science. Ten senior business information systems academics and five analytics industry practitioners in Victoria, Australia were interviewed in three iterative prototyping phases followed by a final focus group session with business information systems students that evaluated the proposed structure. The findings suggest that proposed DBR ensures the design of an innovative data science degree that may meet growing industry and interdisciplinary demands. The paper concludes by discussing overall feasibility of the proposal in the Australian higher education sector, particularly for the case context of an Australian University.",553-581,1,25,Education and Information Technologies,,EBSCOhost,,,Miah,N,UG,AUS,Business,Business,Program Proposal,,QL
5,journalArticle,2021,"Son, Ji Y.; Blake, Adam B.; Fries, Laura; Stigler, James W.",Modeling First: Applying Learning Science to the Teaching of Introductory Statistics,Journal of Statistics and Data Science Education,10.1080/10691898.2020.1844106,https://libproxy.uccs.edu/login?url=https://www.proquest.com/scholarly-journals/modeling-first-applying-learning-science-teaching/docview/2859215038/se-2?accountid=25388,"Students learn many concepts in the introductory statistics course, but even our most successful students end up with rigid, ritualized knowledge that does not transfer easily to new situations. In this article we describe our attempt to apply theories and findings from learning science to the design of a statistics course that aims to help students build a coherent and interconnected representation of the domain. The resulting ""practicing connections"" approach provides students with repeated opportunities to practice connections between core concepts (especially the concepts of statistical model, distribution, and randomness), key representations (R programming language and computational techniques such as simulation and bootstrapping), and real-world situations statisticians face as they explore variation, model variation, and evaluate and compare statistical models. We provide a guided tour through our curriculum implemented in an interactive online textbook (CourseKata.org) and then provide some evidence that students who complete the course are able to transfer what they have learned to the learning of new statistical techniques.",21-Apr,1,29,,,,,,Son,Y,UG,US,Psychology,Psychology,preparation for future learning; understanding of statistics ,Academic,OB
6,journalArticle,2021,"Vance, Eric A.",Using Team-Based Learning to Teach Data Science,Journal of Statistics and Data Science Education,10.1080/26939169.2021.1971587,https://libproxy.uccs.edu/login?url=https://www.proquest.com/scholarly-journals/using-team-based-learning-teach-data-science/docview/2859214924/se-2?accountid=25388,"Data science is collaborative and its students should learn teamwork and collaboration. Yet it can be a challenge to fit the teaching of such skills into the data science curriculum. Team-Based Learning (TBL) is a pedagogical strategy that can help educators teach data science better by flipping the classroom to employ small-group collaborative learning to actively engage students in doing data science. A consequence of this teaching method is helping students achieve the workforce-relevant data science learning goals of effective communication, teamwork, and collaboration. We describe the essential elements of TBL: accountability structures and feedback mechanisms to support students collaborating within permanent teams on well-designed application exercises to do data science. The results of our case study of using TBL to teach a modern, introductory data science course indicate that the course effectively taught reproducible data science workflows, beginning R programming, and communication and collaboration. Students also reported much room for improvement in their learning of statistical thinking and advanced R concepts. To help the data science education community adopt this appealing pedagogical strategy, we outline steps for deciding on using TBL, preparing and planning for it, and overcoming potential pitfalls when using TBL to teach data science.",277-296,3,29,,,,,,Vance,Y,UG,US,"Statistics, Data Science",Statistics,Student Learning Outcomes and Learning Goals,Academic,OB
7,journalArticle,2014,"Sarvary, Mark",Biostatistics in the Classroom: Teaching Introductory Biology Students How to Use the Statistical Software ‘R’ Effectively,Tested Studies for Laboratory Teaching Proceedings of the Association for Biology Laboratory Education,,,"The Investigative Biology Course at Cornell University is designed for biology majors to provide lab experience with emphasis on processes of scientific investigation and students gain expertise in scientific methods and instrumentation. The course modules follow the “crawl, walk, run” approach to develop the capacity of students to solve increasingly challenging problems with greater independence. During the “crawl” phase students fill their scientific toolbox, learn instrumentation and skills to be able to design and conduct their own experiments and analyze and communicate their results. For multiple years students analyzed the results of their experiments by hand, or by the assistance of a Laboratory Instructor who may or may not had been proficient in using statistical software. To “even out the playing field” and to provide an additional tool to the students, we started to teach freshmen and sophomores how to use the statistical program ‘R’. ‘R’ is a comprehensive, programming, graphical and statistical software that will provide significant help with the statistical analysis needed for the research projects conducted in biology labs. It became one of the most popular statistical software in the biological sciences in the past few years. ‘R’ is an implementation of the statistical programming language “S”, which was developed at the Bell Laboratories. Every semester, over 400 students learn how to use ‘R’ in our investigative biology laboratories. After a one-semester biology lab our students do not only walk away with laboratory skills, but by using ‘R’, they improve their statistical, mathematical and analytical skills as well. This new addition to our labs has been very successful, and the feedback from the students, TAs and other faculty has been very positive. ‘R’ is a freeware, and compatible with Unix, Apple and Windows operating systems. The freeware can be downloaded from www.r-project.org. In addition, we also teach students how to use R-studio (www.rstudio.com) that organizes graphs, scripts and variables in a user friendly way. R-studio and R-project give the same results; both software use the same commands; and students can use either of them for their data analysis.",405-407,,35,Tested Studies for Laboratory Teaching Proceedings of the Association for Biology Laboratory Education,,ResearchGate,,,Sarvary,N,UG,US,Biology,Biology,None ,,OT
8,journalArticle,2023,"Li, Manyu",Teaching beginner-level computational social science: interactive open education resources with learnr and shiny apps,Frontiers in Education,10.3389/feduc.2023.1130865,,"<jats:p>The article presents the use of open, inclusive pedagogical frameworks to develop a series of open education resources (OERs), specifically, interactive shiny web applications for teaching beginner-level computational social science (CSS) in undergraduate social science education. CSS is an emerging discipline that integrates data science methods with social science theories and research designs. However, undergraduate social science students could face a lack of a sense of STEM identity or belonging. Also, compared to STEM majors in natural science or engineering, average undergraduate social science students come in with limited mathematical or statistical knowledge. The OERs developed and tested in this article are designed with pedagogical frameworks that help overcome these barriers faced by students from diverse backgrounds and offer students a jump-start in learning CSS. This article presents the details of the tools, classroom implementation (in the form of a 6-week workshop series), the pedagogy frameworks applied, and the assessment methods and outcomes.</jats:p>",NA-NA,NA,8,,,,,,Li,Y,UG,US,Social Science,Multiple,Student Perceptions,Perceptions ,OB
9,journalArticle,2023,"Adenaike, Omolara; Olabanjo, Olufemi Emmanuel; Adedeji, Ayansewa Adeleke",Integrating computational skills in undergraduate Microbiology curricula in developing countries.,Biology methods & protocols,10.1093/biomethods/bpad008,,"The employability of young graduates has gained increasing significance in the labour market of the 21st century. Universities turn out millions of graduates annually, but at the same time, employers highlight their lack of the requisite skills for sustainable employment. We live today in a world of data, and therefore courses that feature numerical and computational tools to gather and analyse data are to be sourced for and integrated into life sciences' curricula as they provide a number of benefits for both the students and faculty members that are engaged in teaching the courses. The lack of this teaching in undergraduate Microbiology curricula is devastating and leaves a knowledge gap in the graduates that are turned out. This results in an inability of the emerging graduates to compete favourably with their counterparts from other parts of the world. There is a necessity on the part of life science educators to adapt their teaching strategies to best support students' curricula that prepare them for careers in science. Bioinformatics, Statistics and Programming are key computational skills to embrace by life scientists and the need for training beginning at undergraduate level cannot be overemphasized. This article reviews the need to integrate computational skills in undergraduate Microbiology curricula in developing countries with emphasis on Nigeria.",bpad008-NA,1,8,,,,,,Adenaike,N,UG,NG,Biology,Biology,Curriculum Proposal,,OT
10,journalArticle,2023,"Dalzell, Nicole M.; Evans, Ciaran",Increasing Student Access to and Readiness for Statistical Competitions,Journal of Statistics and Data Science Education,10.1080/26939169.2023.2167750,,"Statistical competitions like ASA DataFest and the Women in Data Science (WiDS) Datathon give students valuable experience working with real, challenging data. By participating, students practice important statistics and data science skills including data wrangling, visualization, modeling, communication, and teamwork. However, while advanced students may have already acquired these skills over the course of their undergraduate program, students with less experience often need additional preparation to participate. In this article, we discuss strategies and targeted activities for helping lower-level students feel comfortable and prepared to compete in events like DataFest. We also share how we used these tools to create a low-stakes DataFest preparation course at our institution. Supplementary materials for this article are available online.",6-Jan,NA,NA,,,,,,Dalzell,Y,UG,US,Data Science,Data Science,Student Participation in Data Competition,Perceptions ,OB
